Station ID,Year,Month,Day,Hour,Minute,Second,Date (ISO Format),Station Latitude,Station Longitude,Station Elevation,Timestamp (Epoch),ZWD Observation,Satellite Azimuth,Satellite Elevation,Temperature (°C),Pressure (hPa),Humidity (%)
MET300FIN,2025,9,8,12,33,59,2025-09-08T12:33:59.000Z,60.217,24.395,79.2,1757334839,22.47,77,49,-3.1,1012.4,49
MET300FIN,2025,9,7,12,34,4,2025-09-07T12:34:04.000Z,60.217,24.395,79.2,1757248444,19.57,253,27,-5.8,1021.3,64
MET300FIN,2025,9,6,12,34,8,2025-09-06T12:34:08.000Z,60.217,24.395,79.2,1757162048,11.18,208,89,-2.8,1008.9,67
MET300FIN,2025,9,5,12,34,13,2025-09-05T12:34:13.000Z,60.217,24.395,79.2,1757075653,8.33,53,3,-6.0,1019.7,47
MET300FIN,2025,9,4,12,34,17,2025-09-04T12:34:17.000Z,60.217,24.395,79.2,1756989257,20.32,183,76,-4.2,1012.1,51
MET300FIN,2025,9,3,12,34,21,2025-09-03T12:34:21.000Z,60.217,24.395,79.2,1756902861,19.59,40,29,-4.5,1013.9,48
MET300FIN,2025,9,2,12,34,25,2025-09-02T12:34:25.000Z,60.217,24.395,79.2,1756816465,20.69,198,17,-3.6,1004.9,68
MET300FIN,2025,9,1,12,34,29,2025-09-01T12:34:29.000Z,60.217,24.395,79.2,1756730069,10.75,326,1,-5.9,1013.6,48
MET300FIN,2025,8,31,12,34,33,2025-08-31T12:34:33.000Z,60.217,24.395,79.2,1756643673,17.52,198,30,0.3,1004.5,70
MET300FIN,2025,8,30,12,34,38,2025-08-30T12:34:38.000Z,60.217,24.395,79.2,1756557278,19.30,264,9,0.6,1003.8,66
MET300FIN,2025,8,29,12,34,42,2025-08-29T12:34:42.000Z,60.217,24.395,79.2,1756470882,20.84,211,17,1.2,1021.4,71
MET300FIN,2025,8,28,12,34,47,2025-08-28T12:34:47.000Z,60.217,24.395,79.2,1756384487,9.66,12,17,-4.3,1004.2,46
MET300FIN,2025,8,27,12,34,50,2025-08-27T12:34:50.000Z,60.217,24.395,79.2,1756298090,16.86,84,66,-1.8,1018.4,49
MET300FIN,2025,8,26,12,34,54,2025-08-26T12:34:54.000Z,60.217,24.395,79.2,1756211694,6.11,90,15,-1.0,1012.0,74
MET300FIN,2025,8,25,12,34,59,2025-08-25T12:34:59.000Z,60.217,24.395,79.2,1756125299,21.84,197,87,-6.0,1017.9,70
MET300FIN,2025,8,24,12,35,3,2025-08-24T12:35:03.000Z,60.217,24.395,79.2,1756038903,20.94,93,86,-0.4,1008.2,65
MET300FIN,2025,8,23,12,35,7,2025-08-23T12:35:07.000Z,60.217,24.395,79.2,1755952507,16.03,323,69,-5.3,1013.8,57
MET300FIN,2025,8,22,12,35,11,2025-08-22T12:35:11.000Z,60.217,24.395,79.2,1755866111,17.78,202,37,-4.4,1014.8,54
MET300FIN,2025,8,21,12,35,15,2025-08-21T12:35:15.000Z,60.217,24.395,79.2,1755779715,14.39,103,29,1.1,1005.3,55
MET300FIN,2025,8,20,12,35,20,2025-08-20T12:35:20.000Z,60.217,24.395,79.2,1755693320,10.88,316,45,-5.6,1021.3,68
METG00FIN,2025,9,8,12,35,26,2025-09-08T12:35:26.000Z,60.242,24.384,59.7,1757334926,16.25,131,70,-4.3,1010.3,53
METG00FIN,2025,9,7,12,35,31,2025-09-07T12:35:31.000Z,60.242,24.384,59.7,1757248531,15.45,62,23,-8.9,1018.7,68
METG00FIN,2025,9,6,12,35,35,2025-09-06T12:35:35.000Z,60.242,24.384,59.7,1757162135,23.78,193,10,-9.6,1014.3,63
METG00FIN,2025,9,5,12,35,39,2025-09-05T12:35:39.000Z,60.242,24.384,59.7,1757075739,19.64,70,85,-2.7,1016.1,68
METG00FIN,2025,9,4,12,35,44,2025-09-04T12:35:44.000Z,60.242,24.384,59.7,1756989344,22.67,139,69,-3.4,1012.3,53
METG00FIN,2025,9,3,12,35,48,2025-09-03T12:35:48.000Z,60.242,24.384,59.7,1756902948,19.25,13,2,-7.4,1015.6,73
METG00FIN,2025,9,2,12,35,52,2025-09-02T12:35:52.000Z,60.242,24.384,59.7,1756816552,13.53,345,18,-6.1,1013.5,60
METG00FIN,2025,9,1,12,35,56,2025-09-01T12:35:56.000Z,60.242,24.384,59.7,1756730156,11.07,115,13,-6.6,1013.0,45
METG00FIN,2025,8,31,12,36,0,2025-08-31T12:36:00.000Z,60.242,24.384,59.7,1756643760,9.41,269,22,-0.5,1011.8,54
METG00FIN,2025,8,30,12,36,5,2025-08-30T12:36:05.000Z,60.242,24.384,59.7,1756557365,6.77,125,29,-0.1,1021.8,65
